epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,688.033,0,222.841,0,0,0,0,0,0,0,0,1.63236e-05,1.63236e-05,1.63236e-05
2,1343.06,0,141.351,0,0,0,0,0,0,0,0,1.64918e-05,1.64918e-05,1.64918e-05
